Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Millett S.M.","57192285743;","Consumer foresight: The futurists alternative to science fiction",2011,"Strategy & Leadership","40","1",,"4","5",,,"10.1108/sl.2012.26140aaa.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003129331&doi=10.1108%2fsl.2012.26140aaa.006&partnerID=40&md5=bdf24633e4dfa1c011097916565e0178",,"Millett, S.M.",[No abstract available],,,,,,,,,,,,,,,,10878572,,,,"English","Strategy Leadersh.",Article,"Final",,Scopus,2-s2.0-85003129331
"Bharti A.K., Dwivedi S.K.","36679661800;57193873234;","Design of an analytical and foresight based strategic model for e-governance in public transportation",2011,"Communications in Computer and Information Science","250 CCIS",,,"615","620",,4,"10.1007/978-3-642-25734-6_105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84055176622&doi=10.1007%2f978-3-642-25734-6_105&partnerID=40&md5=6f491690868c0a1e2da73fbd75c527b9","Department of Computer Science, Babasaheb Bhimrao Ambedkar University, Lucknow, India","Bharti, A.K., Department of Computer Science, Babasaheb Bhimrao Ambedkar University, Lucknow, India; Dwivedi, S.K., Department of Computer Science, Babasaheb Bhimrao Ambedkar University, Lucknow, India","India is a developing country with the huge potential for the fast paced development in e-Governance. Indian Transport sector is also severely affected by chronic corruption, inefficiency and overcrowded due to the poor planning. In this paper, we discuss about the definition and basic difference between e-government and e-Governance. Secondly, discuss current status of e-Governance in public transportation followed, the study about foresight and its functionality. On the basis of analysis performed on commuters and officials, the foresight is used as a tool to determine the appropriate strategies for the development of ICT enabled services for effective and efficient development of an e-Governance model for the public transportation. Therefore the implementation of e-Governance by using analysis and foresight as a tool can be able to improve the services in the public transportation sector. © 2011 Springer-Verlag.","analytical; e-Governance; e-Government; foresight; ICT; Public Transportation; Strategic model; strategy","analytical; E-governance; e-Government; foresight; ICT; Public transportation; Strategic models; strategy; Artificial intelligence; Developing countries; Government data processing; Information technology",,,,,"(2001) LAC PREM - Issues Note: E-Government and the World Bank, , World Bank, November 5; http://www.egovindia.org/egovernancepaper.doc, SpeG A society for promotion of e-Governance; Mohanty, P.K., Using E-Tools for Good Governance & Administrative Reforms, , http://www.cgg.gov.in/workingpapers/eGovPaperARC.pdf; India Transpor Sector - Roads, , http://web.worldbank.org/WBSITE/EXTERNAL/COUNTRIES/SOUTHASIAEXT/ EXTSARREGTOPTRANSPORT/0,contentMDK:20703625~menuPK:868822~pagePK:34004173~piPK: 34003707~theSitePK:579598,00.html; Martin, B.R., Foresight in Science and Technology (1995) Technology Analysis & Strategic Management, 7 (2), pp. 139-168; Voros, J., A generic foresight process framework (2003) Foresight, 5 (3), pp. 10-21; Bharti, A.K., Dwivedi, S.K., Proceedings of ICSCA-2011 (2011) IPCSIT, 9, pp. 7-12. , ISSN 2010-460X; Shahkooh, K.A., Abdollahi, A., Fasanghari, M., Azadnia, M., Foresight based Framework for E-government Strategic Planning (2009) Journal of Software, 4 (6), pp. 544-549; Dwivedi, S.K., Bharti, A.K., e-Governance in India - Problems and Acceptability (2010) Journal of Theoretical and Applied Information and Technology (JATIT), 17 (1), pp. 37-43. , ISSN 1992-8645","Bharti, A.K.; Department of Computer Science, Babasaheb Bhimrao Ambedkar University, Lucknow, India",,"Assoc. Comput. Electron. Electr. Eng. (ACEEE)",,"1st International Conference on Computational Intelligence and Information Technology, CIIT 2011","7 November 2011 through 8 November 2011","Pune",87748,18650929,9783642257339,,,"English","Commun. Comput. Info. Sci.",Conference Paper,"Final",,Scopus,2-s2.0-84055176622
"Bonaci C.G., Mustata R.V., Matis D., Strouhal J.","35147683000;36081172900;16031891300;24734452000;","A theory documenting the feasibility of a global capital market from an accounting perspective",2011,"Proceedings of the World Multiconference on Applied Economics, Business and Development",,,,"145","150",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655191582&partnerID=40&md5=0d7018d51dd86ec45632a1396d461c7d","Faculty of Economics and Business Administration, Babes-Bolyai University, 58-60 Teodor Mihali Street, 400591, Cluj-Napoca, Romania; University of Economics Prague, W. Churchill Square 4, 130 67 Prague 3, Czech Republic","Bonaci, C.G., Faculty of Economics and Business Administration, Babes-Bolyai University, 58-60 Teodor Mihali Street, 400591, Cluj-Napoca, Romania; Mustata, R.V., Faculty of Economics and Business Administration, Babes-Bolyai University, 58-60 Teodor Mihali Street, 400591, Cluj-Napoca, Romania; Matis, D., Faculty of Economics and Business Administration, Babes-Bolyai University, 58-60 Teodor Mihali Street, 400591, Cluj-Napoca, Romania; Strouhal, J., University of Economics Prague, W. Churchill Square 4, 130 67 Prague 3, Czech Republic","Paper proposes a theory for testing the feasibility of a global capital market from an accounting perspective. The theory connects the area of accounting regulations and the place where the result of their application is put into use, namely the capital market. Quantifying this connection is done indirectly, by using two direct connections. First we quantify the similitude degree of the considered accounting regulations based on a detailed content analysis. Secondly we quantify to what extent the foresights of the considered accounting regulations are actually used in practice by companies being listed on the capital market. Once determined the two correlations we derive the link between a certain capital market and a set of accounting regulations that is different from the one officially being applied by companies listed in the considered market. The proposed theory is tested by considering accounting regulations issued by the IASB and the FASB and companies being listed on the LSE and the NYSE, focusing on financial assets' measurement. We conclude by validating the proposed theory based on the fact that we have dimensioned a conceptual and methodological algorithm that was applied and generated results allowing the interpretation of the feasibility of a global capital market between financial reporting theory and practice.","Accounting practices; Accounting regulations; Capital market; Feasibility; Theory","Accounting practices; Capital markets; Content analysis; Feasibility; Financial assets; Financial reporting; Global capitals; Similitude degree; Theory; Theory and practice; Industry; Commerce",,,,,"Ball, R., Kothari, S.P., Robin, A., The effect of international institutional factors on properties of accounting earnings (2000) Journal of Accounting and Economics, 29, pp. 1-52; Bonaci, C.G., Matis, D., Mustata, R.V., Framework for documenting national accounting practices' orientation towards IAS/IFRS (2010) Journal of International Management Studies, 10 (3), pp. 125-132; Dargenidou, C., McLeay, S., Raonic, I., Expected earnings growth and the cost of capital: An analysis of accounting regime change in the European financial market (2006) Abacus, 42 (3-4), pp. 388-414. , DOI 10.1111/j.1467-6281.2006.00207.x; Fontes, A., Rodrigues, L., Craig, R., Measuring convergence of national accounting standards with international financial reporting standards (2005) Accounting Forum, 29, pp. 415-236; Frost, C.A., Gordon, E.A., Hayes, A.F., Stock exchange disclosure and market development: An analysis of 50 international exchanges (2006) Journal of Accounting Research, 44 (3), pp. 437-483. , DOI 10.1111/j.1475-679X.2006.00208.x; Garrido, P., Leon, A., Zorio, A., Measurement of formal harmonization progress: The IASC experience (2002) The International Journal of Accounting, 37, pp. 1-26; Kang, T., Global market segmentation and patterns in stock market reaction to US earnings announcements: Further evidence (2005) Journal of International Financial Management and Accounting, 16 (2), pp. 123-141; Morais, A., Fialho, A., Do harmonized accounting standards lead to harmonized accounting practices? An empirical study of IAS 39 measurement requirements in some european union countries (2008) Australian Accounting Review, 18 (3), pp. 224-236; Mustata, R.V., Bonaci, C.G., Matis, D., Strouhal, J., Using econometric tools for accounting harmonization measurement (2011) International Journal of Mathematical Models and Methods in Applied Sciences, 5 (2), pp. 316-323; Ndubizu, G.A., Wallace, R.S.O., Contracts valuation assessment noise and cross-border listing of equities on U.S. and U.K. stock markets (2003) International Journal of Accounting, 38 (4), pp. 397-420. , DOI 10.1016/j.intacc.2003.09.010, PII S0020706303000712; Strouhal, J., (2011) International Harmonization of SMEs Financial Reporting in Emerging CEE Countries, , Stevens Point: WSEAS Press","Bonaci, C.G.; Faculty of Economics and Business Administration, Babes-Bolyai University, 58-60 Teodor Mihali Street, 400591, Cluj-Napoca, Romania; email: carmen.bonaci@econ.ubbcluj.ro",,"The Alexandru Ioan Cuza University of Iasi",,"3rd World Multiconference on Applied Economics, Business and Development, AEBD'11","1 July 2011 through 3 July 2011","Iasi",87752,22235779,9781618040091,,,"English","Proc. World Multiconference Appl. Econ. Bus. Dev.",Conference Paper,"Final",,Scopus,2-s2.0-83655191582
"Lang G.K.","7201766216;","Klinische Monatsblätter, the Theodor-Axenfeld-Award, and foresight [Die Klinischen Monatsblätter, der Theodor-Axenfeld-Preis und ein Blick in die Zukunft!]",2011,"Klinische Monatsblatter fur Augenheilkunde","228","12",,"1049","1050",,,"10.1055/s-0031-1281947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83155160855&doi=10.1055%2fs-0031-1281947&partnerID=40&md5=f1f36ccb4c6e2b40585b0c56eab30cc1","Augenklinik, Universitätsklinikum Ulm, Prittwitzstr. 43, 89075 Ulm, Germany","Lang, G.K., Augenklinik, Universitätsklinikum Ulm, Prittwitzstr. 43, 89075 Ulm, Germany",[No abstract available],,"editorial; medical literature; medical research; publication; Awards and Prizes; Germany; History, 21st Century; Molecular Biology; Ophthalmology",,,,,"Kreusel, K.M., Krause, L., Graul-Neumann, L., Familienuntersuchungen bei Patienten mit Angiomatosis retinae (2009) Klin Monatsbl Augenheilkd, 226, pp. 939-943; Flückiger, S., Bucher, H.U., Hellström, A., Der frühe postnatale Gewichtsverlauf als Prädiktor einer Frühgeborenenretinopathie (2011) Klin Monatsbl Augenheilkd, 228, pp. 306-310; Kermani, O., Oberheide, U., Will, G.F., Echtzeitsteuerung einer Femtosekundenlaser Sub-Bowman-Keratomileusis an humanen Spenderaugen mittels optischer Kohärenztomografie (2009) Klin Monatsbl Augenheilkd, 226, pp. 965-969; Rosenbaum, K., Rottler, J., Steinbach, R., Limitierte Verfügbarkeit von potenziellen Hornhautspendern: Gründe und Verbesserungsvorschläge (2010) Klin Monatsbl Augenheilkd, 227, pp. 418-422; Böhringer, D., Sundmacher, R., Reinhard, T., Fadenkomplikationen nach perforierender Keratoplastik (2010) Klin Monatsbl Augenheilkd, 227, pp. 735-738; Braun, F., Wilhelm, H., Farbvergleichstest bei einseitigen Opikusneuropathien (2010) Klin Monatsbl Augenheilkd, 227, pp. 852-856","Lang, G.K.; Augenklinik, Universitätsklinikum Ulm, Prittwitzstr. 43, 89075 Ulm, Germany; email: Sekretariat.Augenklinik@uniklinik-ulm.de",,,,,,,,00232165,,KMAUA,"22167354","German","Klin. Monatsbl. Augenheilkd.",Editorial,"Final",,Scopus,2-s2.0-83155160855
"Helmreich S., Wilhelmer D., Kubeczko K., Düh J., Kyster-Hansen H.","55996660700;36474003800;14068906600;55996114300;55997005100;","Foresight process",2011,"FREIGHTVISION-Sustainable European Freight Transport 2050: Forecast, Vision and Policy Recommendation",,,,"17","32",,,"10.1007/978-3-642-13371-8_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892082712&doi=10.1007%2f978-3-642-13371-8_2&partnerID=40&md5=3e827524f5c68c07b46b20c23188ebf4","AustriaTech, Federal Agency for Technological Measures Ltd., Vienna, Austria; Austrian Institute of Technology, Vienna, Austria; AustriaTech-Federal Agency for Technological Measures, Vienna, Austria; Tetraplan A/S, Copenhagen, Denmark","Helmreich, S., AustriaTech, Federal Agency for Technological Measures Ltd., Vienna, Austria; Wilhelmer, D., Austrian Institute of Technology, Vienna, Austria; Kubeczko, K., Austrian Institute of Technology, Vienna, Austria; Düh, J., AustriaTech-Federal Agency for Technological Measures, Vienna, Austria; Kyster-Hansen, H., Tetraplan A/S, Copenhagen, Denmark","In Foresight processes both experts and decision-makers from policy, industry, research, and civil society are brought together to create channels for communication and to develop a basis for shaping the future. The Foresight methodology was the guideline for the whole project and each individual methodology, like modeling, forecasting, backcasting, or literature review, was considered as part of the whole Foresight process. This chapter introduces the objective of Foresight processes and explains the techniques used within FREIGHTVISION. © 2011 Springer-Verlag Berlin Heidelberg.",,,,,,,"(2009) Management Summary on Policy, Technology & External Factors, , AustriaTech. prepared for the 1st FREIGHTVISION Forum 16th & 17th March 2009; (2009) Management Summary II-Forecasts, Preliminary Vision, Conflicts and Measures, , AustriaTech; prepared for the 2nd FREIGHTVISION Forum 8th & 9th June 2009; (2009) Management Summary III-Assessment of Measures & Action Scenario, , AustriaTech; prepared for the 3rd FREIGHTVISION Forum 19th & 20th October 2009; (2010) Management Summary IV Revised Version-Vision & Action Plan, , AustriaTech; updated after the 4th FREIGHTVISION Forum, February 2010; Brown, J., Isaacs, D., (2005) The World Café. Shaping Our Futures Through Conversations That Matter, , Berett-Koehler Publisher, San Francisco, CA; Popper, R., How are Foresight methods selected? (2008) Foresight, 10 (6), p. 62. , 2008; Emerald Group Publishing Limited, ISSN 1463-6689","Helmreich, S.; AustriaTech, Federal Agency for Technological Measures Ltd., Vienna, Austria; email: helmreich@austriatech.org",,,"Springer Berlin Heidelberg",,,,,,9783642133701,,,"English","FREIGHTVISION-Sustainable Europ. Freight. Transp. 2050: Forecast., Vis. and Plcy. Recommendation",Book Chapter,"Final",,Scopus,2-s2.0-84892082712
"Capello R., Fratesi U.","6603743919;23394797400;","Quantitative foresights for European regions",2011,"Spatial Scenarios in a Global Perspective: Europe and the Latin Arc Countries",,,,"41","87",,,"10.4337/9780857935625.00009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890600935&doi=10.4337%2f9780857935625.00009&partnerID=40&md5=8f7554fa805bcb413540cc061fd0cb65","Politecnico of Milan, Italy","Capello, R., Politecnico of Milan, Italy; Fratesi, U., Politecnico of Milan, Italy",[No abstract available],,,,,,,,"Capello, R.; Politecnico of MilanItaly",,,"Edward Elgar Publishing",,,,,,9780857935618,,,"English","Spatial Scenarios in a Global Perspect.: Eur. and the Latin Arc Countries",Book Chapter,"Final",,Scopus,2-s2.0-84890600935
"Ziebik A., Liszka M.","55880958000;6602349664;","Clean coal technologies for silesia region - results of regional foresight",2011,"International Journal of Energy and Environmental Engineering","2","1",,"1","9",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873026355&partnerID=40&md5=eeacfb431be5d923c0646147f1bf1f9c","Institute of Thermal Technology, Silesian University of Technology, Poland","Ziebik, A., Institute of Thermal Technology, Silesian University of Technology, Poland; Liszka, M., Institute of Thermal Technology, Silesian University of Technology, Poland","The present paper deals with the results of the foresight analysis concerning the development of energy technologies in Upper Silesia. Twelve experts representing science, industry and independent authorities were involved in these investigations. Upper Silesia is a specific region in Poland, characterized by coal energy technologies. As 9 result of STEEP and SWOT analyses several scenarios of energy technology development have been elaborated. In the course of the voting of experts two scenarios (innovative and moderate development) have been selected. Both of them stress the need of developing clean coal technologies in Upper Silesia. The final results of regional foresight are road maps of the energy technologies development in Upper Silesia.","Clean coal technologies; Foresight",,,,,,"(2006) Higher efficiency towards zero emissions, , Babcock-Hitachi Europe. Power-Gen, Co-logne, Germany; Bugge, J., High-efficiency coal-fired power plants development and perspectives (2006) Energy, 31, pp. 1437-1445; Vision Statement - To enable European fossil fuel power plants to have zero emission of CO2 by, 2020, , European Technology Platform for Zero Emis-sion Fossil Fuel Power Plants. 12 May 06; (2004), Fossil Fuel Power Generation. State of the Art. Report prepared by Power Clean R, D and D Thematic Network (Prof. J. Mc Mullan chairman). 30th July; (2005) The Potential of Coal, , Reducing Greenhouse Gas Emission. Coal Industry Advisory Board. International Energy Agency. OECD/IEA; Valero, A., (2006) The Vision of the European Tech-nology Platform for Zero Emission Power Plants, , ECOS'06, July; (2005), Roadmapping Coal's Future. Zero Emissions Technologies for Fossil Fuels. International Energy Agency. Working Party on Fossil Fuels. Coal Industry Advisory Board. OECD/IEA; (2000), Vision 21. Fossil Fuel Options for the Future. Committee on R and D Opportunities for Ad-vanced Fossil-Fueled Energy Complexes. Board on Energy and Environmental Systems. Commission on Engineering and Technical Systems. National Research Council. Nationa-lAcademy Press, Washington, D.C; (2007), Project of Energy Policy of Poland up to 2030. Ministry of Economy, September; Green Paper - European Strategy for Sustaina-ble, Competitive and Secure Energy. Brussels, 08.03.2006 andCommision Staff Workimg Document - Anex to the Green Paper. What is at stake - Background document; Andris, P., (2006) A Place for Coal in the EU Energy Mix, , Referat wygłoszony na Mie{ogonek}dzynarodowej Konferencji FUTURE EU ENERGY MIX - will coalplayanimportant role? Gliwice, 29 maja","Ziebik, A.Konarskiego 22, 44-100 Gliwice, Poland; email: andrzej.ziebik@polsl.pl",,,,,,,,20089163,,,,"English","Int. J. Energy Environ. Eng.",Article,"Final",,Scopus,2-s2.0-84873026355
"Affuso A., Fratesi U.","38961039900;23394797400;","Quantitative foresights at subregional level: Assumptions and simulation results",2011,"Spatial Scenarios in a Global Perspective: Europe and the Latin Arc Countries",,,,"111","127",,,"10.4337/9780857935625.00012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890762113&doi=10.4337%2f9780857935625.00012&partnerID=40&md5=e998569f9841ca8151faece5e846f137","Italian Ministry of Economy and Finance, State General Accounting Department, Departmental Study Service (Se.S.D.), Italy; Politenico of Milan, Italy","Affuso, A., Italian Ministry of Economy and Finance, State General Accounting Department, Departmental Study Service (Se.S.D.), Italy; Fratesi, U., Politenico of Milan, Italy",[No abstract available],,,,,,,,"Affuso, A.; Italian Ministry of Economy and Finance, State General Accounting Department, Departmental Study Service (Se.S.D.)Italy",,,"Edward Elgar Publishing",,,,,,9780857935618,,,"English","Spatial Scenarios in a Global Perspect.: Eur. and the Latin Arc Countries",Book Chapter,"Final",,Scopus,2-s2.0-84890762113
"Affuso A., Camagni R., Capello R.","38961039900;6603060884;6603743919;","Quantitative foresights at subregional level: The model and estimation results",2011,"Spatial Scenarios in a Global Perspective: Europe and the Latin Arc Countries",,,,"91","110",,3,"10.4337/9780857935625.00011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890635880&doi=10.4337%2f9780857935625.00011&partnerID=40&md5=1c35bc522e2834c00d516c2120586481","Italian Ministry of Economy and Finance, State General Accounting Department, Departmental Study Service (Se.S.D.), Italy; Politecnico of Milan, Italy","Affuso, A., Italian Ministry of Economy and Finance, State General Accounting Department, Departmental Study Service (Se.S.D.), Italy; Camagni, R., Politecnico of Milan, Italy; Capello, R., Politecnico of Milan, Italy",[No abstract available],,,,,,,,"Affuso, A.; Italian Ministry of Economy and Finance, State General Accounting Department, Departmental Study Service (Se.S.D.)Italy",,,"Edward Elgar Publishing",,,,,,9780857935618,,,"English","Spatial Scenarios in a Global Perspect.: Eur. and the Latin Arc Countries",Book Chapter,"Final",,Scopus,2-s2.0-84890635880
[No author name available],[No author id available],"An efficient foresight study: Mutualism of expertise and evidence (Interview with Mikhail Alfimov)",2011,"Foresight Russia","5","4",,"77","78",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886486450&partnerID=40&md5=be83b381de4d8f0dcc7d95522c7c9c6e",,"",[No abstract available],,,,,,,,,,,,,,,,1995459X,,,,"Russian","Foresight Russ.",Note,"Final",,Scopus,2-s2.0-84886486450
